2.459927,1.001772
2.336859,1.006750
2.293996,1.043310
2.211605,1.059861
2.170651,1.094301
2.135333,1.130762
2.085721,1.158626
2.058041,1.197870
2.026803,1.234759
2.020885,1.287427
1.986139,1.322017
1.972558,1.370846
1.963027,1.423436
1.957806,1.480446
1.956657,1.542214
1.958520,1.608402
1.995365,1.706800
2.013879,1.793787
0.349901,1.713968
0.309309,1.687122
0.266842,1.640285
0.228099,1.604504
0.190589,1.565298
0.158936,1.566658
0.124692,1.535115
0.094505,1.547394
0.062157,1.517324
0.031710,1.517964
0.001255,1.507333
-0.029062,1.511500
-0.059207,1.506526
-0.089408,1.505134
-0.120923,1.520057
-0.149985,1.503301
-0.184221,1.534280
-0.214066,1.524012
-0.250014,1.553147
-0.286222,1.575957
-0.322722,1.594369
-0.363365,1.626685
-0.405220,1.657128
-0.452652,1.702391
-2.304036,0.438006
-2.227154,0.377287
-2.197641,0.327090
-2.146883,0.275646
-2.137744,0.231012
-2.091812,0.183694
-2.076865,0.140474
-2.069485,0.098330
-2.062431,0.056575
-2.061190,0.015194
-2.065022,-0.026195
-2.075513,-0.067968
-2.075530,-0.109676
-2.076153,-0.151512
-2.112495,-0.196819
-2.132516,-0.241904
-2.151578,-0.287882
-2.205623,-0.340266
-2.275010,-0.397826
-2.427681,-0.474885
-2.750733,-3.037588
-2.606825,-2.997340
-2.507397,-3.002548
-2.431646,-3.033491
-2.346059,-3.050085
-2.282793,-3.094279
-2.228575,-3.151177
-2.169044,-3.201305
-2.114257,-3.259332
-2.082394,-3.355729
-2.056770,-3.467775
3.019855,-2.770919
2.959704,-2.608347
2.948765,-2.495450
2.964642,-2.408561
2.987782,-2.329464
3.020554,-2.259101
3.071365,-2.202467
3.121353,-2.144846
3.176232,-2.090044
3.240843,-2.040635
3.334336,-2.007284
3.493181,-2.008580
2.503067,1.001534
2.380384,1.008280
2.293201,1.026059
2.225177,1.049683
2.183255,1.083950
2.149287,1.121349
2.088114,1.143283
2.058669,1.181431
2.038994,1.225138
2.017355,1.267870
2.000701,1.314103
1.980390,1.358377
1.973362,1.412565
1.956280,1.460551
1.966976,1.530917
1.971155,1.598652
1.975967,1.669334
2.064826,1.816611
